[21:06:08] [info] VERTEX: Creating window: Game (1280, 720, 1.7777778)
[21:06:10] [info] APP: x: 71, y: 13, z: 3
[21:06:10] [info] APP: x: 70, y: 13, z: 6
[21:06:10] [info] APP: x: 69, y: 13, z: 5
[21:06:10] [info] APP: x: 69, y: 11, z: 15
[21:06:10] [info] APP: x: 68, y: 11, z: 6
[21:06:10] [info] APP: x: 67, y: 11, z: 5
[21:06:10] [info] APP: x: 67, y: 9, z: 14
[21:06:10] [info] VERTEX: 2492.4343
[21:06:10] [info] APP: 307
[21:06:10] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 196.85007
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 633.6899
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 13.8065815
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 15.931606
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 26.629448
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 18.776178
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 21.574497
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 12.458801
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 18.961668
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 30.57623
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 19.274712
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 18.893003
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 27.275324
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 14.878035
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 26.427269
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:11] [info] VERTEX: 23.892164
[21:06:11] [info] APP: 307
[21:06:11] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 24.865627
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 25.066853
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 105.968
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 22.263288
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 16.784906
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 13.613939
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 14.15658
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 17.01665
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 18.81814
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 22.120476
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 18.665552
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 14.803886
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 18.260479
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 14.294624
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 17.27748
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 19.805193
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 25.918484
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 16.928196
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 44.317722
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 53.560734
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 50.40598
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 60.71043
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 145.41435
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 54.022312
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 17.630577
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 10.642529
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 20.407677
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 54.659843
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 12.581348
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 11.072636
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 18.373966
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:12] [info] VERTEX: 18.50319
[21:06:12] [info] APP: 307
[21:06:12] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.01553
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 12.933731
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 22.76373
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 11.071205
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 13.7348175
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 14.460564
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.561985
